country,year,poverty_rate,gini,unemployment,crime_rate
DE,2011,13.700000000000001,,5.5,59.86
DE,2012,13.6,,5.1,60.64
DE,2013,13.828571428571431,,4.9,58.66
DE,2014,14.5,30.7,4.7,56.3
DE,2015,14.528571428571428,30.1,4.4,55.01
DE,2016,14.12857142857143,29.5,3.9,52.34
DE,2017,13.714285714285714,29.1,3.5,47.08
DE,2018,14.0,31.1,3.2,44.4
DE,2019,12.885714285714286,29.7,2.9,43.43
DE,2020,14.571428571428571,30.5,3.6,40.73
DE,2021,14.614285714285714,31.2,3.6,36.23
DE,2022,13.1,29.0,3.1,45.89
DK,2005,9.299999999999999,,,
DK,2006,9.442857142857141,,,
DK,2007,9.542857142857143,,,
DK,2008,9.771428571428572,,,62.09
DK,2009,10.328571428571427,,6.4,72.65
DK,2010,11.057142857142859,,7.7,60.92
DK,2011,10.37142857142857,,7.8,58.28
DK,2012,10.37142857142857,,7.8,53.81
DK,2013,10.557142857142859,,7.4,57.12
DK,2014,10.900000000000002,27.7,6.9,41.26
DK,2015,10.799999999999999,27.4,6.3,35.94
DK,2016,10.799999999999999,27.7,6.0,38.28
DK,2017,10.985714285714286,27.6,5.8,35.52
DK,2018,11.157142857142857,27.8,5.1,31.46
DK,2019,10.942857142857141,27.5,5.0,29.25
DK,2020,10.685714285714285,27.3,5.6,28.08
DK,2021,10.714285714285714,27.0,5.1,22.04
DK,2022,10.985714285714286,27.7,4.5,23.94
EE,2005,17.32857142857143,,,
EE,2006,16.685714285714287,,,
EE,2007,17.271428571428572,,,
EE,2008,16.642857142857142,,,67.91
EE,2009,16.485714285714288,,13.5,54.35
EE,2010,15.057142857142859,,16.6,44.93
EE,2011,16.32857142857143,,12.3,39.48
EE,2012,16.614285714285714,,9.9,34.48
EE,2013,16.985714285714288,,8.6,36.06
EE,2014,19.785714285714285,35.6,7.3,27.36
EE,2015,19.24285714285714,34.8,6.4,25.63
EE,2016,18.714285714285715,32.7,6.8,18.85
EE,2017,17.9,31.6,5.8,15.28
EE,2018,18.257142857142856,30.6,5.4,12.89
EE,2019,18.057142857142857,30.5,4.5,11.47
EE,2020,17.342857142857145,30.5,6.9,8.5
EE,2021,17.157142857142855,30.6,6.2,9.7
EE,2022,19.25714285714286,31.9,5.6,7.36
EL,2005,17.442857142857143,,,
EL,2006,18.585714285714285,,,
EL,2007,18.52857142857143,,,
EL,2008,17.82857142857143,,,29.45
EL,2009,17.0,,9.8,42.5
EL,2010,17.714285714285715,,12.9,54.67
EL,2011,18.8,,18.1,59.66
EL,2012,20.285714285714285,,24.8,54.05
EL,2013,20.7,,27.8,44.7
EL,2014,19.957142857142856,34.5,26.6,34.78
EL,2015,19.2,34.2,25.0,39.75
EL,2016,19.400000000000002,34.3,23.9,43.94
EL,2017,18.285714285714285,33.4,21.8,39.66
EL,2018,17.071428571428573,32.3,19.7,40.57
EL,2019,16.242857142857144,31.0,17.9,40.42
EL,2020,16.071428571428573,31.4,17.6,23.71
EL,2021,17.342857142857145,32.4,14.7,22.5
EL,2022,16.3,31.4,12.5,27.08
ES,2005,17.8,,,
ES,2006,17.9,,,
ES,2007,17.571428571428573,,,
ES,2008,17.67142857142857,,,156.39
ES,2009,18.02857142857143,,17.9,140.92
ES,2010,18.37142857142857,,19.9,181.58
ES,2011,18.62857142857143,,21.4,187.97
ES,2012,19.185714285714287,,24.8,206.34
ES,2013,18.714285714285715,,26.1,184.12
ES,2014,20.414285714285715,34.7,24.5,152.34
ES,2015,20.2,34.6,22.1,139.03
ES,2016,20.400000000000002,34.5,19.6,135.56
ES,2017,19.928571428571427,34.1,17.2,132.74
ES,2018,19.2,33.2,15.3,129.23
ES,2019,18.642857142857142,33.0,14.1,140.35
ES,2020,18.514285714285712,32.1,15.5,95.63
ES,2021,19.228571428571428,33.0,14.9,111.97
ES,2022,18.099999999999998,32.0,13.0,133.65
FI,2005,9.87142857142857,,,
FI,2006,10.257142857142856,,,
FI,2007,10.614285714285714,,,
FI,2008,11.214285714285714,,,31.99
FI,2009,11.028571428571428,,8.3,30.79
FI,2010,10.457142857142857,,8.6,28.17
FI,2011,10.771428571428572,,8.0,30.17
FI,2012,10.771428571428572,,7.9,29.91
FI,2013,9.928571428571429,,8.3,28.07
FI,2014,10.5,25.6,8.7,30.95
FI,2015,10.114285714285716,25.2,9.4,28.29
FI,2016,9.714285714285714,25.4,8.9,30.43
FI,2017,9.5,25.3,8.7,29.8
FI,2018,10.085714285714285,25.9,7.5,30.84
FI,2019,10.142857142857142,26.2,6.8,32.71
FI,2020,10.342857142857143,26.5,7.7,36.11
FI,2021,9.37142857142857,25.7,7.7,34.19
FI,2022,10.62857142857143,26.6,6.8,41.98
FR,2005,11.4,,8.9,
FR,2006,11.357142857142858,,8.9,
FR,2007,10.957142857142857,,8.0,
FR,2008,11.528571428571428,,7.4,166.6
FR,2009,12.228571428571428,,9.1,175.24
FR,2010,12.285714285714286,,9.3,187.19
FR,2011,12.614285714285714,,9.2,186.16
FR,2012,12.571428571428571,,9.8,189.67
FR,2013,12.37142857142857,,10.3,190.02
FR,2014,11.9,29.2,10.3,173.02
FR,2015,11.928571428571429,29.2,10.3,156.59
FR,2016,11.971428571428572,29.3,10.1,158.52
FR,2017,11.414285714285715,28.8,9.4,149.4
FR,2018,11.342857142857143,28.5,9.0,137.99
FR,2019,11.799999999999999,29.2,8.4,133.92
FR,2020,12.6,29.2,8.0,110.2
FR,2021,12.657142857142857,29.3,7.9,104.21
FR,2022,13.557142857142859,29.8,7.3,100.19
HR,2008,,,,29.2
HR,2009,,,9.2,32.74
HR,2010,18.014285714285712,,11.7,28.93
HR,2011,17.957142857142856,,13.7,32.22
HR,2012,17.957142857142856,,16.1,37.14
HR,2013,17.32857142857143,,17.3,35.73
HR,2014,17.0,30.2,17.3,29.86
HR,2015,17.228571428571428,30.4,16.2,31.03
HR,2016,17.1,29.8,13.0,25.49
HR,2017,17.17142857142857,29.9,11.1,20.8
HR,2018,16.914285714285715,29.7,8.3,18.97
HR,2019,15.971428571428572,29.2,6.6,20.56
HR,2020,15.828571428571427,28.3,7.4,15.57
HR,2021,16.428571428571427,29.2,7.5,14.96
HR,2022,15.4,28.5,6.8,18.33
HU,2005,11.614285714285714,,,
HU,2006,15.042857142857144,,,
HU,2007,10.585714285714285,,,
HU,2008,10.328571428571427,,,31.14
HU,2009,9.914285714285715,,9.7,31.49
HU,2010,9.785714285714286,,10.8,33.91
HU,2011,11.9,,10.7,32.08
HU,2012,12.214285714285714,,10.7,30.57
HU,2013,12.957142857142857,,9.8,23.19
HU,2014,13.157142857142857,28.6,7.5,19.78
HU,2015,13.085714285714285,28.2,6.6,14.61
HU,2016,12.428571428571429,28.2,5.0,11.23
HU,2017,11.614285714285714,28.1,4.0,8.58
HU,2018,12.485714285714286,28.7,3.6,7.12
HU,2019,12.571428571428571,26.8,3.3,6.48
HU,2020,12.214285714285714,28.2,4.1,6.22
HU,2021,12.028571428571428,27.4,4.0,5.56
HU,2022,12.014285714285714,26.9,3.6,5.5
IE,2005,16.985714285714288,,,
IE,2006,16.0,,,
IE,2007,15.185714285714285,,,
IE,2008,13.87142857142857,,,52.22
IE,2009,12.885714285714286,,12.6,55.78
IE,2010,13.714285714285714,,14.6,71.08
IE,2011,13.228571428571428,,15.4,64.62
IE,2012,14.571428571428571,,15.5,61.33
IE,2013,14.114285714285714,,13.8,60.88
IE,2014,14.62857142857143,31.0,11.9,57.14
IE,2015,13.885714285714286,29.7,9.9,51.82
IE,2016,14.228571428571428,29.6,8.4,41.36
IE,2017,14.014285714285714,30.6,6.7,42.18
IE,2018,12.742857142857144,28.9,5.8,45.11
IE,2019,11.685714285714287,28.0,5.0,41.52
IE,2020,11.157142857142857,27.6,5.9,27.95
IE,2021,10.857142857142858,26.6,6.2,23.21
IE,2022,11.385714285714286,26.9,4.5,27.83
IT,2005,17.157142857142855,,,
IT,2006,17.014285714285712,,,
IT,2007,17.04285714285714,,,
IT,2008,16.32857142857143,,,110.03
IT,2009,16.385714285714286,,7.9,85.99
IT,2010,16.571428571428573,,8.5,81.09
IT,2011,17.45714285714286,,8.5,98.05
IT,2012,17.285714285714285,,10.9,105.47
IT,2013,17.442857142857143,,12.4,106.84
IT,2014,17.228571428571428,32.4,12.9,64.55
IT,2015,17.7,32.4,12.0,57.71
IT,2016,18.5,33.1,11.7,55.09
IT,2017,17.82857142857143,32.7,11.3,51.44
IT,2018,18.342857142857145,33.4,10.6,47.92
IT,2019,17.942857142857143,32.8,9.9,41.5
IT,2020,17.657142857142855,32.5,9.3,34.34
IT,2021,17.757142857142856,32.9,9.5,38.05
IT,2022,17.657142857142855,32.7,8.1,44.35
LT,2005,19.785714285714285,,,
LT,2006,18.885714285714283,,,
LT,2007,17.614285714285717,,,
LT,2008,19.099999999999998,,,107.45
LT,2009,18.771428571428572,,13.8,105.63
LT,2010,19.87142857142857,,17.8,86.79
LT,2011,17.87142857142857,,15.4,81.96
LT,2012,16.928571428571427,,13.4,64.02
LT,2013,18.614285714285717,,11.8,62.79
