country,year,poverty_rate,gini,unemployment,crime_rate
HR,2015,17.228571428571428,30.4,16.2,31.03
HR,2016,17.1,29.8,13.0,25.49
HR,2017,17.17142857142857,29.9,11.1,20.8
HR,2018,16.914285714285715,29.7,8.3,18.97
HR,2019,15.971428571428572,29.2,6.6,20.56
HR,2020,15.828571428571427,28.3,7.4,15.57
HR,2021,16.428571428571427,29.2,7.5,14.96
HR,2022,15.4,28.5,6.8,18.33
HU,2014,13.157142857142857,28.6,7.5,19.78
HU,2015,13.085714285714284,28.2,6.6,14.61
HU,2016,12.428571428571429,28.2,5.0,11.23
HU,2017,11.614285714285714,28.1,4.0,8.58
HU,2018,12.485714285714286,28.7,3.6,7.12
HU,2019,12.571428571428571,26.8,3.3,6.48
HU,2020,12.214285714285714,28.2,4.1,6.22
HU,2021,12.028571428571428,27.4,4.0,5.56
HU,2022,12.014285714285714,26.9,3.6,5.5
IE,2014,14.62857142857143,31.0,11.9,57.14
IE,2015,13.885714285714286,29.7,9.9,51.82
IE,2016,14.228571428571428,29.6,8.4,41.36
IE,2017,14.014285714285714,30.6,6.7,42.18
IE,2018,12.742857142857144,28.9,5.8,45.11
IE,2019,11.685714285714289,28.0,5.0,41.52
IE,2020,11.157142857142857,27.6,5.9,27.95
IE,2021,10.857142857142858,26.6,6.2,23.21
IE,2022,11.385714285714286,26.9,4.5,27.83
IT,2014,17.228571428571428,32.4,12.9,64.55
IT,2015,17.7,32.4,12.0,57.71
IT,2016,18.5,33.1,11.7,55.09
IT,2017,17.82857142857143,32.7,11.3,51.44
IT,2018,18.342857142857145,33.4,10.6,47.92
IT,2019,17.942857142857143,32.8,9.9,41.5
IT,2020,17.657142857142855,32.5,9.3,34.34
IT,2021,17.757142857142856,32.9,9.5,38.05
IT,2022,17.657142857142855,32.7,8.1,44.35
LT,2014,17.97142857142857,35.0,10.7,57.35
LT,2015,21.15714285714285,37.9,9.1,54.43
LT,2016,21.0,37.0,7.9,46.46
LT,2017,21.7,37.6,7.1,38.2
LT,2018,21.5,36.9,6.2,29.26
LT,2019,19.47142857142857,35.4,6.3,23.8
LT,2020,19.185714285714287,35.1,8.5,17.14
LT,2021,18.82857142857143,35.4,7.1,11.09
LT,2022,19.428571428571427,36.2,6.0,12.19
LU,2014,13.5,28.7,5.9,111.88
LU,2015,13.014285714285714,28.5,6.7,98.41
LU,2016,13.771428571428572,29.6,6.3,79.65
LU,2017,14.328571428571427,29.2,5.5,76.86
LU,2018,15.157142857142857,31.3,5.6,74.58
LU,2019,15.985714285714286,32.3,5.6,74.44
LU,2020,15.285714285714286,31.2,6.8,75.39
LU,2021,15.357142857142858,29.6,5.3,93.74
LU,2022,14.55714285714286,29.1,4.6,101.02
LV,2014,19.54285714285714,35.5,10.9,40.42
LV,2015,20.47142857142857,35.4,9.9,39.22
LV,2016,19.585714285714285,34.5,9.7,33.06
LV,2017,20.24285714285714,34.5,8.7,30.97
LV,2018,21.27142857142857,35.6,7.4,27.61
LV,2019,20.77142857142857,35.2,6.3,25.68
LV,2020,19.728571428571428,34.5,8.1,22.8
LV,2021,21.11428571428572,35.7,7.6,13.89
LV,2022,20.085714285714285,34.3,6.9,14.93
MT,2014,13.142857142857142,27.7,5.7,44.67
MT,2015,13.828571428571427,28.1,5.4,55.04
MT,2016,13.685714285714283,28.6,4.7,57.5
MT,2017,13.44285714285714,28.2,4.0,43.88
MT,2018,13.842857142857143,28.7,4.0,43.72
MT,2019,13.871428571428572,28.0,4.1,35.25
MT,2020,14.1,30.3,4.9,24.88
MT,2021,14.6,31.2,3.8,19.57
MT,2022,14.357142857142858,31.1,3.5,25.34
NL,2014,9.814285714285717,26.2,8.4,62.09
NL,2015,10.257142857142856,26.7,7.9,57.57
NL,2016,10.94285714285714,26.9,7.0,52.89
NL,2017,11.242857142857144,27.1,5.9,46.69
NL,2018,11.285714285714286,27.4,4.9,45.31
NL,2019,11.05714285714286,26.8,4.4,49.7
NL,2020,11.62857142857143,28.2,4.9,41.96
NL,2021,11.971428571428572,26.4,4.2,31.76
NL,2022,12.085714285714284,26.3,3.5,33.94
PL,2014,15.257142857142856,30.8,9.2,36.48
PL,2015,15.371428571428572,30.6,7.7,26.86
PL,2016,15.228571428571428,29.8,6.3,25.37
PL,2017,13.514285714285714,29.2,5.0,21.37
PL,2018,13.042857142857144,27.8,3.9,17.91
PL,2019,13.44285714285714,28.5,3.3,17.05
PL,2020,12.7,27.2,3.2,13.93
PL,2021,12.528571428571428,26.8,3.4,12.88
PL,2022,11.685714285714283,26.3,2.9,12.83
PT,2014,18.52857142857143,34.5,14.6,149.55
PT,2015,18.257142857142856,34.0,13.0,149.13
PT,2016,17.771428571428572,33.9,11.5,128.74
PT,2017,17.12857142857143,33.5,9.2,115.28
PT,2018,15.985714285714286,32.1,7.2,102.47
PT,2019,15.62857142857143,31.9,6.6,106.32
PT,2020,14.985714285714286,31.2,7.1,87.18
PT,2021,17.085714285714285,33.0,6.7,76.65
PT,2022,15.042857142857144,32.0,6.2,85.08
RO,2014,22.514285714285712,35.0,8.6,32.17
RO,2015,23.4,37.4,8.4,16.9
RO,2016,22.5,34.7,7.2,15.67
RO,2017,20.8,33.1,6.1,16.1
RO,2018,21.65714285714285,35.1,5.3,16.77
RO,2019,21.542857142857144,34.8,4.9,17.85
RO,2020,20.8,33.8,6.1,19.91
RO,2021,21.314285714285717,34.3,5.6,17.77
RO,2022,18.842857142857145,32.0,5.6,16.12
SE,2014,13.0,26.9,8.0,86.72
SE,2015,13.157142857142857,26.7,7.5,86.8
SE,2016,13.485714285714286,27.6,7.1,86.91
SE,2017,13.471428571428572,28.0,6.8,86.53
SE,2018,13.428571428571429,27.0,6.5,85.43
SE,2019,13.914285714285716,27.6,6.9,88.32
SE,2020,13.257142857142858,26.9,8.5,85.32
SE,2021,12.828571428571427,26.8,8.9,70.34
SE,2022,13.471428571428572,27.6,7.5,62.02
SI,2014,11.914285714285716,25.0,9.7,14.41
SI,2015,11.44285714285714,24.5,9.0,11.25
